אונטולוגיה,יחידה ספרותית,מספר יחידה ספרותית,מספר רץ ,חלוקות משנה וכפל שמות,ID חדש?,מתוך טבלת רישום מדרשים,ID: טבלת רישום מדרשים,שטראק-שטמברגר,ID: שטראק-שטמברגר,"אנציקלופדיה יודאיקה (מ""ד הר)","ID: אנציקלופדיה יודאיקה (מ""ד הר)",ויקיפדיה,ID: ויקיפדיה,"פרוייקט השו""ת","ID: פרוייקט השו""ת",רייזל,ID: רייזל,פרידברג,Friedberg,ID: פרידברג,מ. ביאליק-לרנר,ID: ביאליק לרנר,English Reference MAZAL,MAZAL ID,Common English Title,Transcribed Title,Family,
תנא דבי אליהו זוטא,Townsend,T,,,358:T,תנא דבי אליהו זוטא,24.2,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,סדר אליהו רבא,Seder Eliyahu Rabba,3,<חוסר>,<חוסר>,,,Tanna de-Vei Eliyahu Zuta,Tanna de-Vei Eliyahu Zuta,"Late Midrash, Aggadic Midrash",
שבעת פרקי רבי אליעזר,לא מקראי,3,1,1,3:1:1.0,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,שבעת פרקי רבי אליעזר,35,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,,,Seven Chapters of Rabbi Eliezer,Shivat Pirkei Rabbi Eliezer,Smaller Midrashim,
פרקי דרבי אליעזר,Townsend,T,,,41:T,פרקי דרבי אליעזר,25,Pirqe de Rabbi Eliezer,39,Pirkei de-R. Eliezer,48,פרקי דרבי אליעזר,34,פרקי דרבי אליעזר,37,פרקי דרבי אליעזר,38,פרקי דרבי אליעזר,Pirqey de-Rabbi Eliezer,9,<חוסר>,<חוסר>,Pirkei de-Rabbi Eliezer,987007266536705171,Pirkei de-Rabbi Eliezer,Pirkei de-Rabbi Eliezer,"Late Midrash, Aggadic Midrash",
מדרש אגור,Townsend,T,,,10:T,מדרש אגור,26,<חוסר>,<חוסר>,"Midrash Agur (Called ""Mishnat R. Eliezer"")",49,<חוסר>,<חוסר>,משנת רבי אליעזר,39,<חוסר>,,משנת רבי אליעזר,Mishnat R. Eliezer,1,<חוסר>,<חוסר>,Baraita of 32 rules,987009950576005171,Midrash Agur,Midrash Agur,"Aggadic Midrash, Late Midrash",
אבות דרבי נתן,סדר משנה/תלמוד,2,1,1,2:1:1.0,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,אבות דרבי נתן,26,<חוסר>,<חוסר>,אבות דרבי נתן,37,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Avot de-Rabbi Nathan,987007258168205171,Avot de-Rabbi Natan,Avot de-Rabbi Natan,"Aggadic Midrash, Late Midrash",
אבות דרבי נתן א,סדר משנה/תלמוד,2,1,2,2:1:2.0,אבות דרבי נתן א,27.1,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Avot de-Rabbi Natan – Version A,Avot de-Rabbi Natan – Version 1,"Aggadic Midrash, Late Midrash",
אבות דרבי נתן ב,סדר משנה/תלמוד,2,1,3,2:1:3.0,אבות דרבי נתן ב,27.2,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Avot de-Rabbi Natan – Version B,Avot de-Rabbi Natan – Version 2,"Aggadic Midrash, Late Midrash",
סדר עולם,לא מקראי,3,2,1,3:2:1.0,,28,Seder Olam,36,<חוסר>,<חוסר>,<חוסר>,<חוסר>,סדר עולם רבה,9,סדר עולם,35,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Seder olam rabbah,987007289814205171,Seder Olam,Seder Olam,"Aggadic Midrash, Tannitic Midrash",
ילקוט שמעוני,מקרא,1,1,1,1:1:1.0,ילקוט שמעוני,29,Yalqut Shimo͑ny,72,Yalkut Shimoni,39,ילקוט שמעוני,61,ילקוט שמעוני על התורה,45,ילקוט שמעוני,43,ילקוט שמעוני,Yalqut Shim'oni,67,<חוסר>,<חוסר>,Yalkut Shimoni,987007590392105171,Yalkut Shimoni,Yalkut Shimoni,Yalqutim (Anthologies),
פתרון תורה,תורה,1.3-5,1,1,1.3-5:1:1.0,פתרון תורה,30,Pitron Torah,81,<חוסר>,<חוסר>,פתרון תורה,57,פתרון תורה,44,פתרון תורה,40,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Pitron Torah,Pitron Torah,Yalqutim (Anthologies),
ילקוט מכירי,נביאים-כתובים,1.6-24,1,1,1.6-24:1:1.0,ילקוט מכירי,31,Yalqut ha-Makhiri,73,Yalkut Makhiri,41,ילקוט המכירי,62,<חוסר>,<חוסר>,ילקוט המכירי,45,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Yalkut Makhiri,Yalkut Makhiri,Yalqutim (Anthologies),
מדרש הגדול,תורה,1.1-5,3,1,1.1-5:3:1.0,A,32,Midrash ha-Gadol,75,Midrash ha-Gadol,40,מדרש הגדול,63,מדרש הגדול,47,מדרש הגדול,44,מדרש הגדול,Midrash ha-Gadol,54,<חוסר>,<חוסר>,Midrash ha-gadol,987007286643205171,Midrash HaGadol,Midrash HaGadol,"Yalqutim (Anthologies), Yemanite Midrashim",
אגדת אסתר,אסתר,1.21,8,1,1.21:8:1.0,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,אגדת אסתר,Agaddat Esther,52,Aggadat Ester,<חוסר>,Aggadat Ester,987007286645405171,Aggadat Esther,Aggadat Esther,"Yalqutim (Anthologies), Yemanite Midrashim",
מדרש החפץ,תורה,1.1-5,4,1,1.1-5:4:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש החפץ,Midrash hs-Hefez,55,<חוסר>,<חוסר>,Midrash ha-Hefets,,Midrash HaHefetz,Midrash HaHefetz,Yemanite Midrashim,
נר השכלים,תורה,1.1-5,5,1,1.1-5:5:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,נר השכלים,,76,<חוסר>,<חוסר>,,,Ner HaSekhalim,Ner HaSekhalim,Yemanite Midrashim,
תורת המנחה,תורה,1.1-5,6,1,1.1-5:6:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,תורת המנחה,,38,<חוסר>,<חוסר>,,,Torat HaMinhah,Torat HaMinhah,Medieval Midrash/Derashut/Musar,
מדרש דוד הנגיד,תורה,1.1-2,1,1,1.1-2:1:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש דוד הנגיד,Midrash David ha-Nagid,59,<חוסר>,<חוסר>,,,Midrash David HaNagid,Midrash David HaNagid,Judeo-Arabic Midrash,
ילקוט ראובני,תורה,1.1-5,7,1,1.1-5:7:1.0,<חוסר>,<חוסר>,Yalqut Reubeni,74,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Yalkut Reuveni,Yalkut Reuveni,Yalqutim (Anthologies),
עין יעקב,סדר משנה/תלמוד,2,2,1,2:2:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,Ein Ya'akov,42,עין יעקב,66,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Ein Yaakov,Ein Yaakov,Likutim,
מנורת המאור,לא מקראי,3,3,1,3:3:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מנורת המאור,,65,<חוסר>,<חוסר>,,,Menorat HaMa’or,Menorat HaMa’or,Medieval Midrash/Derashut/Musar,
הגדות התלמוד (ילקוט),סדר משנה/תלמוד,2,3,1,2:3:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,Haggadot ha-Talmud,43,,65,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Aggadot HaTalmud (Yalkut),Aggadot HaTalmud (Yalkut),Likutim,
מדרש הביאור,תורה,1.1-5,8,1,1.1-5:8:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,64,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Midrash HaBe'ur,Midrash HaBe'ur,Yemanite Midrashim,
דרשה ליום הנחמה,לא מקראי,3,4,1,3:4:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,דרשה ליום הנחמה,,45,<חוסר>,<חוסר>,,,Sermon for the Day of Consolation,Derashah for Yom HaNehamah,"Medieval Midrash/Derashut/Musar, Asserted Text",
"דרשות ר""י אבן שועיב",תורה,1.1-5,9,1,1.1-5:9:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,"דרשות ר""י אבן שועיב",,46,<חוסר>,<חוסר>,,,Sermons of R. Y. Ibn Shu’ayb,Derashot R. Y. Ibn Shu’ayb,Medieval Midrash/Derashut/Musar,
דרשת בשרתי צדק,לא מקראי,3,5,1,3:5:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,דרשת בשרתי צדק,,47,<חוסר>,<חוסר>,,,"Sermon on Psalm 40:10 (""Bisarti Tzedek"")",Derashat Bisarti Tzedek,Medieval Midrash/Derashut/Musar,
מדרש חדש,תורה,1.1-5,2,6,1.1-5:2:6.0,מדרש חדש,34,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש חדש,Midrash Hadash,18,<חוסר>,<חוסר>,,,Midrash Hadash,Midrash Hadash,"Tanhuma-Yelmanu, Late Midrash",
