אונטולוגיה,יחידה ספרותית,מספר יחידה ספרותית,מספר רץ ,חלוקות משנה וכפל שמות,ID חדש?,מתוך טבלת רישום מדרשים,ID: טבלת רישום מדרשים,שטראק-שטמברגר,ID: שטראק-שטמברגר,"אנציקלופדיה יודאיקה (מ""ד הר)","ID: אנציקלופדיה יודאיקה (מ""ד הר)",ויקיפדיה,ID: ויקיפדיה,"פרוייקט השו""ת","ID: פרוייקט השו""ת",רייזל,ID: רייזל,פרידברג,Friedberg,ID: פרידברג,מ. ביאליק-לרנר,ID: ביאליק לרנר,English Reference MAZAL,MAZAL ID,Common English Title,Transcribed Title,Family,
מדרש חסרות ויתרות,Townsend,T,,,153:T,מדרש חסרות ויתרות,52,Midrash Ḥaserot wi-Yterot,60,Midrash Haserot vi-Yterot,13,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש חסרות ויתרות,Midrash Haserot we-Yeterot,64,<חוסר>,<חוסר>,Midrash Haserot vi-yterot,987007590391405171,Midrash on Defective and Plene Spellings,Midrash Haserot ve-Yeterot,"Smaller Midrashim, Amoraic Midrash",
מדרש ויושע,Townsend,T,,,133:T,מדרש ויושע,53,Midrash Wa-yosha,50,Midrash va-Yosha,66,מדרש ויושע,51,<חוסר>,<חוסר>,מדרש ויושע,47,מדרש ויושע,Midrash va-Yosha,57,<חוסר>,<חוסר>,Midrash Ṿa-yoshaʻ,987007286637005171,Midrash Vayosha,Midrash Vayosha,"Smaller Midrashim, Aggadic Midrash",
מעשה יהודית,Townsend,T,,,160:T,מעשה יהודית,54,<חוסר>,<חוסר>,Midreshei Yehudit,59,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Story of Judith,Ma'aseh Yehudit,Reworked II Temple Literature,
מעשה חנוכה,Townsend,T,,,150:T,מעשה חנוכה,55,<חוסר>,<חוסר>,Midreshei Ḥanukkah,58,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash Maase Hanukka,987007286644905171,Story of Hanukkah,Ma'aseh Hanukkah,"Smaller Midrashim, Aggadic Midrash, Reworked II Temple Literature",
רות זוטא,רות,1.18,2,1,1.18:2:1.0,רות זוטא,56,Other Midrashim on Ruth (Ruth Zutta),31,Ruth Zuta,27,רות זוטא,44,מדרש זוטא - רות,23,רות זוטא,18,רות זוטא,Ruth Zuta,32,<חוסר>,<חוסר>,Midrash zuta. Ruth,987007416388805171,Ruth Zuta,Rut Zuta,"Scroll Midrashim, Aggadic Midrash, Late Midrash",
סדר עולם זוטא,לא מקראי,3,7,1,3:7:1.0,סדר עולם זוטא,57,Seder Olam Zutta,37,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Seder olam zuta,987007286636205171,Seder Olam Zuta,Seder Olam Zuta,"Late Midrash, Chronology",
דרך ארץ זוטא,לא מקראי,3,8,1,3:8:1.0,דרך ארץ זוטא,58,Derekh Ereṣ Zuttah,56,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש דרך ארץ זוטא,,16,<חוסר>,<חוסר>,Minor tractates. Derekh erez zuta,987007286781605171,Derekh Eretz Zuta,Derekh Eretz Zuta,Late Midrash,
דרך ארץ רבה,לא מקראי,3,9,1,3:9:1.0,<חוסר>,<חוסר>,Derekh Ereṣ Rabbah,55,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Minor tractates. Derekh erez rabbah,987007590392705171,Derekh Eretz Rabbah,Derekh Eretz Rabbah,Late Midrash,
אגדת בראשית,בראשית,1.1,2,1,1.1:2:1.0,אגדת בראשית,59,Aggadat Bereshit,18,Aggadat Bereshit,25,אגדת בראשית,40,אגדת בראשית,32,אגדת בראשית,30,אגדת בראשית,Agaddat Bereshit,29,<חוסר>,<חוסר>,Aggadat Bereshit,987007528038405171,Aggadat Bereshit,Aggadat Bereshit,"Aggadic Midrash, Tanhuma-Yelmanu, Late Midrash",
מדרשים קטנים - לפני בירור,לא מזוהה,1.26,3,1,4:3:1.0,מדרשים קטנים - לפני בירור,60,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Minor Midrashim – before review,Minor Midrashim – before review,,
פטירת אהרון,Townsend,T,,,14:T,<חוסר>,<חוסר>,Midrash Petirat Aharon,46,Midrash Petirat Aharon,51,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,Midrash Petirat Aharon,987007590392405171,Midrash on the Death of Aaron,Petirat Aharon,"Smaller Midrashim, Aggadic Prose",
מדרש ויסעו,Townsend,T,,,135:T,<חוסר>,<חוסר>,Midrash Wa-yissau,49,Midrash va-Yissa'u,56,מדרש ויסעו,29,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash Va-yissa'u,987007590391805171,Midrash Vayyissa’u,Midrash Vayyissa’u,"Aggadic Midrash, Smaller Midrashim",
מדרש אלה אזכרה/עשרה הרוגי מלכות,Townsend,T,,,284:T,<חוסר>,<חוסר>,Midrash Elleh Ezkerah,51,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Maʻaśeh ʻaśarah haruge malkhut,987007265455105171,Midrash Eleh Ezkerah / Ten Martyrs,Midrash Eleh Ezkerah / Asarah Harugei Malkhut,"Aggadic Midrash, Aggadic Prose",
מדרש אל יתהלל,Townsend,T,,,25:T,<חוסר>,<חוסר>,Midrash ʾAl-yithallel,52,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Midrash Al Yithallel,Midrash Al Yithallel,,
ספר הישר,לא מקראי,3,10,1,3:10:1.0,<חוסר>,<חוסר>,Sefer ha-yashar,53,Sefer ha-Yashar,67,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,ספר הישר (מדרש),,70,<חוסר>,<חוסר>,Sefer ha-yashar (Quasi-historical work),987007289003805171,Sefer HaYashar / Book of Jasher,Sefer HaYashar,"Smaller Midrashim, Aggadic Prose, Chronology",
פטירת משה,Townsend,T,,,240:T,<חוסר>,<חוסר>,Midrash Petirat Moshe,47,"Midrash Petirat Moshe (""Death of Moses"")",46,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש פטירת משה,Midrash Petirat Moshe,63,<חוסר>,<חוסר>,Midrash Petirat Moshe,987007590392305171,Midrash on the Death of Moses,Petirat Moshe,"Aggadic Prose, Smaller Midrashim",
מדרש יונה,יונה,1.13,1,1,1.13:1:1.0,מדרש יונה,61,Midrash Jonah,32,Midrash Yonah,50,מדרש תשובת יונה הנביא,53,<חוסר>,<חוסר>,תשובת יונה הנביא,48,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash Yonah,987007590391705171,Midrash Jonah,Midrash Yonah,"Smaller Midrashim, Late Midrash, Aggadic Midrash",
בראשית רבתי,בראשית,1.1,3,1,1.1:3:1.0,<חוסר>,<חוסר>,Bereshit Rabbati,76,Genesis Rabbti,37,בראשית רבתי,41,בראשית רבתי,41,,,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Genesis Rabbati,987007590392005171,Genesis Rabbati,Bereshit Rabbati,"Late Midrash, Aggadic Midrash, Smaller Midrashim",
בראשית זוטא [מסנות],בראשית,1.1,4,1,1.1:4:1.0,<חוסר>,<חוסר>,Bereshit Zutta,80,<חוסר>,<חוסר>,מדרשי רבי שמואל מסנות,67,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Bereshit Zuta [Samuel Masnut],Bereshit Zuta [Masnut],"Aggadic Commentary, Smaller Midrashim",
מדרש השכם (מדרש והזהיר),Townsend,T,,,126:T,<חוסר>,<חוסר>,Midrash Hashkem or Midrash We-hizhir,19,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש השכם,Midrash Hashkem,56,<חוסר>,<חוסר>,,,Midrash HaShkem (Midrash ve-Hizhir),Midrash HaShkem (Midrash ve-Hizhir),"Late Midrash, Aggadic Commentary, Smaller Midrashim",
פסיקתא חדתא,Townsend,T,,,298:T,<חוסר>,<חוסר>,Pesiqta Hadatta,20,Pesikta Ḥadta,68,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Pesikta Hadta,Pesikta Hadta,"Late Midrash, Aggadic Midrash, Smaller Midrashim",
מדרש ויכלו,Townsend,T,,,134:T,<חוסר>,<חוסר>,Midrash Wa-yekhullu,21,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Midrash Vayekhulu,Midrash Vayekhulu,"Late Midrash, Smaller Midrashim",
ספר זרובבל,Townsend,T,,,137:T,<חוסר>,<חוסר>,Sefer Zerubbabel,38,Apocalyptic and Eschatological Midrashim,44,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,ספר זרובבל,,71,<חוסר>,<חוסר>,Sefer Zerubbabel,987007289283605171,Book of Zerubbabel,Sefer Zerubbavel,"Smaller Midrashim, Eschatology",
מגילת אנטיוכוס,Townsend,T,,,48:T,<חוסר>,<חוסר>,Megillat Antiochos,40,Megillat Antiochus,45,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Scroll of Antiochus,987007265098205171,Scroll of Antiochus,Megillat Antiochus,"Smaller Midrashim, Reworked II Temple Literature",
אגדת חנוכה,Townsend,T,,,150:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,אגדת חנוכה,,51,<חוסר>,<חוסר>,,,Aggadat Hanukkah,Aggadat Hanukkah,Smaller Midrashim,
מדרש עשר גלויות,Townsend,T,,,282:T,<חוסר>,<חוסר>,Midrash E͑ser Galuyyot,41,Midrash Eser Galuyyot,55,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש עשר גלויות,Midrash Eser Galuyot,61,<חוסר>,<חוסר>,,,Midrash on the Ten Exiles,Midrash Eser Galuyot,"Smaller Midrashim, Enumaration Midrash",
ספר אלדד הדני,Townsend,T,,,28:T,<חוסר>,<חוסר>,Book of the Danite Eldad ben Maḥli,42,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Book of Eldad HaDani,Sefer Eldad HaDani,"Smaller Midrashim, Aggadic Prose",
יוסיפון,לא מקראי,3,11,1,3:11:1.0,<חוסר>,<חוסר>,Josippon,45,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Josippon,987007270155505171,Sefer Josippon,Yosippon,"Smaller Midrashim, Reworked II Temple Literature, Aggadic Prose, Chronology",
ספרי 'מעשה' (מעשה בוך),לא מקראי,3,12,1,3:12:1.0,<חוסר>,<חוסר>,Ma͑aseh-books,54,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Maase-Buch,987007264985805171,Ma'aseh Books (Ma'aseh Book),Sifrei Ma'aseh (Ma'aseh Bukh),Smaller Midrashim,
מדרש תמורה,Townsend,T,,,353:T,<חוסר>,<חוסר>,Midrash Temurah,59,Midrash Temurah,69,מדרש תמורה,56,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash Temura,987007286637105171,Midrash Temurah,Midrash Temurah,"Smaller Midrashim, Hekhalot and Mysticism",
ספר יצירה,Townsend,T,,,183:T,<חוסר>,<חוסר>,Sefer Yeṣirah,61,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Sefer Yezirah,987007267712105171,Sefer Yetzirah / Book of Formation,Sefer Yetzirah,"Smaller Midrashim, Hekhalot and Mysticism",
מדרש תדשא (ברייתא דרבי פנחס בן יאיר),Townsend,T,,,349:T,<חוסר>,<חוסר>,Midrash Tadshê,62,Midrash Tadshe,61,מדרש תדשא,50,<חוסר>,<חוסר>,מדרש תדשא או ברייתא דרבי פנחס בן יאיר,46,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash Tadshe,987007286637805171,Midrash Tadshe (Baraita of Rabbi Pinhas ben Yair),Midrash Tadshe (Baraita de-Rabbi Pinhas ben Yair),"Smaller Midrashim, Aggadic Midrash, Late Midrash, Ashkenazi Library Midrashim",
מדרש כונן (ועוד יצירות של 'מעשה בראשית'),Townsend,T,,,194:T,<חוסר>,<חוסר>,Midrash Konen and Other Texts on the Work of Creation,63,Midrash Konen,63,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash Konen,987007286641705171,Midrash Konen (and other Ma'aseh Bereshit works),Midrash Konen (and other Ma'aseh Bereshit works),"Smaller Midrashim, Hekhalot and Mysticism",
היכלות רבתי והיכלות זוטרתי,Townsend,T,,,120:T,<חוסר>,<חוסר>,The Greater and the Lesser Hekhalot,64,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Heikhalot rabbati/Heikhalot zutrati,987007262528205171; 987007287482705171,Hekhalot Rabbati and Hekhalot Zutarti / Greater Hekhalot and Lesser Hekhalot,Hekhalot Rabbati and Hekhalot Zutarti,"Smaller Midrashim, Hekhalot and Mysticism",
ספר היכלות (חנוך ג'),Townsend,T,,,145:T,<חוסר>,<חוסר>,Sefer Hekhalot (3 Enoch),65,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Hebrew book of Enoch,987007463124005171,Sefer Hekhalot (3 Enoch),Sefer Hekhalot (Hanokh 3),"Smaller Midrashim, Hekhalot and Mysticism",
ראויות יחזקאל,Townsend,T,,,176:T,<חוסר>,<חוסר>,Visions of Ezekiel (Reʾuyyot Yeḥezkel),66,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,ראויות יחזקאל,,39,<חוסר>,<חוסר>,,,Re’uyot Yehezkel / Visions of Ezekiel,Re’uyot Yehezkel,"Smaller Midrashim, Hekhalot and Mysticism",
מרכבה רבה,לא מקראי,3,13,1,3:13:1.0,<חוסר>,<חוסר>,Merkabah Rabbah,67,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Merkavah Rabbah,Merkavah Rabbah,"Smaller Midrashim, Hekhalot and Mysticism",
מעשה מרכבה,Townsend,T,,,234:T,<חוסר>,<חוסר>,Ma͑aseh Merkabah,68,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Maaseh merkavah,987007600132705171,Ma'aseh Merkavah,Ma'aseh Merkavah,"Smaller Midrashim, Hekhalot and Mysticism",
שיעור קומה,Townsend,T,,,347:T,<חוסר>,<חוסר>,Shiu͑r Qomah,69,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Shi'ur komah,987007312682905171,Shi'ur Komah,Shi'ur Komah,"Smaller Midrashim, Hekhalot and Mysticism",
ספר רזיאל וספר הרזים,לא מקראי,3,14,1,3:14:1.0,<חוסר>,<חוסר>,Sefer Raziel and Sefer ha-Razim,71,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Sefer ha-razim,987007267712405171,Sefer Razi'el and Sefer HaRazim,Sefer Razi'el and Sefer HaRazim,"Smaller Midrashim, Hekhalot and Mysticism",
כיסא ואיפודרומין של שלמה המלך,Townsend,T,,,324:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,Throne and Hippodromes of Solomon,57,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Throne and Hippodrome of King Solomon,Kise ve-Ippodromin shel Shlomo HaMelekh,"Smaller Midrashim, Aggadic Prose",
מדרש הלל/ספר הלל,Townsend,T,,,124:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,Midrash Hallel,60,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Midrash Hallel,987007475373905171,Midrash Hallel / Book of Hallel,Midrash Hallel / Sefer Hallel,"Smaller Midrashim, Aggadic Midrash",
ברייתא דישועה,Townsend,T,,,188:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,ברייתא דישועה,16,<חוסר>,<חוסר>,<חוסר>,<חוסר>,ברייתא דישועה,Berayta de-Yeshu'a,42,<חוסר>,<חוסר>,Baraita di-Yešuʻah,987007396452705171,Baraita de-Yeshu'ah,Baraita de-Yeshu'ah,Smaller Midrashim,
,,,,,,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,אגדות התלמוד,17,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,,,Smaller Midrashim,
פרקי רבי יוסי,לא מקראי,3,15,1,3:15:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,פרקי רבי יוסי,18,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Pirkei Rabbi Yossi,Pirkei Rabbi Yossi,Smaller Midrashim,
הגדה של פסח,לא מקראי,3,16,1,3:16:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,הגדה של פסח,36,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Haggadah,987007286788105171,Passover Haggadah,Haggadah shel Pesah,Smaller Midrashim,
מגילת תענית,לא מקראי,3,17,1,3:17:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מגילת תענית,8,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Megillat Taanit,987007286778205171,Megillat Ta'anit,Megillat Ta'anit,"Smaller Midrashim, Tannitic Midrash, Chronology",
ברייתא דמלאכת המשכן,Townsend,T,,,215:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,ברייתא דמלאכת המשכן,10,<חוסר>,<חוסר>,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Baraita de-melekhet ha-mishkan,987007307541305171,Baraita de-Melekhet HaMishkan,Baraita de-Melekhet HaMishkan,Smaller Midrashim,
אוצר המדרשים,לא מקראי,3,18,1,3:18:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,אוצר המדרשים,43,ספרי אסופות של מדרשים,54,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Otzar HaMidrashim,Otzar HaMidrashim,Smaller Midrashim,
בתי מדרשות,לא מקראי,3,19,1,3:19:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,בתי מדרשות,46,ספרי אסופות של מדרשים,54,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,,,Batei Midrashot,Batei Midrashot,Smaller Midrashim,
פרק שירה,Townsend,T,,,321:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,,,פרק שירה,36,<חוסר>,,<חוסר>,<חוסר>,<חוסר>,Perek shirah,987007289829005171,Perek Shirah,Perek Shirah,Smaller Midrashim,
פרקי רבי יאשיה,Townsend,T,,,158:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,פרקי רבי יאשיה,,80,<חוסר>,<חוסר>,,,Pirkei Rabbi Yoshiyah,Pirkei Rabbi Yoshiyah,Smaller Midrashim,
פרק משיח,Townsend,T,,,256:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,פרק משיח,Pereq Mashiah,77,<חוסר>,<חוסר>,,,Perek Mashiah,Perek Mashiah,"Smaller Midrashim, Eschatology",
מדרש שני כתובים,Townsend,T,,,345:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש שני כתובים,Midrash Shney Ketuvim,60,<חוסר>,<חוסר>,,,Midrash Shnei Ketuvim,Midrash Shnei Ketuvim,Smaller Midrashim,
מדרש אשת חיל,Townsend,T,,,62:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מדרש אשת חיל,Midrash Eshet Hayil,58,<חוסר>,<חוסר>,,,Midrash Eshet Hayil,Midrash Eshet Hayil,"Smaller Midrashim, Aggadic Midrash",
שמחות דרבי חייא,לא מקראי,3,20,1,3:20:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,שמחות דרבי חייא,,40,<חוסר>,<חוסר>,,,Semahot de-Rabbi Hiyya,Semahot de-Rabbi Hiyya,Smaller Midrashim,
מסכת פורים,לא מקראי,3,21,1,3:21:1.0,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מסכת פורים,,66,<חוסר>,<חוסר>,Massekhet Purim,987007287482105171,Massekhet Purim,Massekhet Purim,Smaller Midrashim,
חזון דניאל,Townsend,T,,,112:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,חזון דניאל,Hazon Daniel,68,<חוסר>,<חוסר>,Syriac Apocalypse of Daniel (?),987007568044305171 (?),Vision of Daniel,Hazon Daniel,"Smaller Midrashim, Eschatology, Reworked II Temple Literature",
חופת אליהו,Townsend,T,,,29:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,חופת אליהו,Huppat Eliyahu,69,<חוסר>,<חוסר>,,,Huppat Eliyahu,Huppat Eliyahu,"Smaller Midrashim, Aggadic Commentary, Enumaration Midrash",
מרגניתא דבי רב,Townsend,T,,,229:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,מרגניתא דבי רב,,72,<חוסר>,<חוסר>,Midrash Margenita deve Rav,987007286641505171,Marganita de-Vei Rav,Marganita de-Vei Rav,Smaller Midrashim,
ברייתא דמזלות,Townsend,T,,,210:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,ברייתא דמזלות,Berayta de-Mazalot,43,<חוסר>,<חוסר>,Baraita demazzalot,987007286497805171,Baraita de-Mazalot,Baraita de-Mazalot,Smaller Midrashim,
נסתרות רבי שמעון בר יוחאי,Townsend,T,,,338:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,נסתרות רבי שמעון בר יוחאי,,75,<חוסר>,<חוסר>,,,Nistarot Rabbi Shimon bar Yohai,Nistarot Rabbi Shimon bar Yohai,"Smaller Midrashim, Eschatology, Hekhalot and Mysticism",
אותיות דרבי שמעון בר יוחאי,Townsend,T,,,337:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,אותיות דרבי שמעון בר יוחאי,Otiot de-Rabbi Aqiva,50,<חוסר>,<חוסר>,,,Letters of Rabbi Shimon bar Yohai,Otiyyot de-Rabbi Shimon bar Yohai,"Smaller Midrashim, Eschatology, Hekhalot and Mysticism",
פרק צדקות,Townsend,T,,,303:T,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,<חוסר>,פרק צדקות,,78,<חוסר>,<חוסר>,,,Perek Tzedakot,Perek Tzedakot,Smaller Midrashim,
