דפוס,סוג דפוס ,יצירה,קוד יצירה,place, year,digital editions,NLI-ID,NLI-Scanned text,Sefaria JSON Name,Sefaria JSON - LINK
"אגדת רות ומדרש רות רבה, מ""ב לרנר (מהדיר), ירושלים תשל""א.",כפולה,רות רבה,1.18:1:1.0,Jerusalem,1971,,,,,
"מדרש איכה רבה, ש' בובר (מהדיר), וילנה תרנ""ט.",,איכה רבה,1.19:1:1.0,Vilna,1899,,,,,
"מדרש זוטא על שיר השירים, רות, איכה וקהלת, מהד' ש' בובר, ברלין תרנ""ד (כולל שני נוסחים: 'איכה זוטא' ו'איכה זוטא נוסחה שניה').",,איכה זוטא,1.19:2:1.0,Berlin,1894,,,,,
"י' תבורי וא' עצמון (עורכים), מדרש אסתר רבה, מהדורה סינופטית, www.schechter.ac.il/raba.asp.",,אסתר רבה א,לא נמצא,Digital,2014,,,,,
"דפוס ראשון: א' ילינק, בית המדרש א, לייפציג תרי""ג.",,מדרש אבא גוריון,לא נמצא,Leipzig,1853,,,,,
"ספרי דאגדתא על מגילת אסתר, מהד' ש' בובר, וילנה תרמ""ז.",כפולה,מדרש אבא גוריון,לא נמצא,Vilna,1886,,,,,
"א' ילינק, בית המדרש א, לייפציג תרי""ג (קטע מתוך המדרש).",,מדרש פנים אחרות נוסח ב',לא נמצא,Leipzig,1853,,,,,
"דפוס ראשון: מדרש תדשא, בתוך: א' ילינק (עורך), בית המדרש ג, לייפציג תרי""ג- תרל""ח",,מדרש תדשא או ברייתא דרבי פנחס בן יאיר,לא נמצא,Leipzig,1878,,,,,
"מדרש תדשא, ורשה תרל""ו",,מדרש תדשא או ברייתא דרבי פנחס בן יאיר,לא נמצא,Warsaw,1875,,,,,
"מדרש תדשא או ברייתא דרבי פנחס בן יאיר, מהד' א' עפשטיין, בתוך: מקדמוניות היהודים א, וינה תרמ""ז",כפולה,מדרש תדשא או ברייתא דרבי פנחס בן יאיר,לא נמצא,Vienna,1887,,,,,
"דפוס ראשון: חבור המעשיות והמדרשות, קושטא רע""ט.",דפוס חשוב,מדרש ויושע,133:T,Constantinople,1519,,,,,
"ספר דברי חכמים, מיץ תר""ט.",,מדרש ויושע,133:T,Metz,1849,,,,,
"א' ילינק, בית המדרש א, לייפציג תרי""ג.",כפולה,מדרש אבא גוריון,לא נמצא,Leipzig,1853,,,,,
"י""ד אייזנשטיין, אוצר המדרשים א, ניו יורק תרע""ה.",,מדרש ויושע,133:T,New York,1915,,,,,
"ז' פרדס-פינשטיין, מדרש ויושע: מבוא, מהדורת טקסט ודיון, עבודה לשם קבלת התואר מוסמך, האוניברסיטה העברית, ירושלים תשנ""ד.",כפולה,מדרש ויושע,133:T,Jerusalem,1994,,,,,
