דפוס,סוג דפוס ,יצירה,קוד יצירה,place, year,digital editions,NLI-ID,NLI-Scanned text,Sefaria JSON Name,Sefaria JSON - LINK
"סדר עולם רבה, מהד' רטנר, וילנה תרנ""ז.",,סדר עולם,3:2:1.0,Vilna,1897,,,,,
"סדר עולם פרקים א-י, מהד' מארכס, ברלין תרס""ג.",כפולה,סדר עולם,3:2:1.0,Berlin,1903,,,,,
"סדר עולם עם ביאורים והגהות מהרב יעקב עמדן ומהרב אליהו מווילנא, מהד' ליינר, ורשה תרס""ה.",,סדר עולם,3:2:1.0,Warsaw,1905,,,,,
"סדר עולם עם פירושים של משה יאיר ווינשטראק, ירושלים תשט""ז.",,סדר עולם,3:2:1.0,Jerusalem,1956,,,,,
"Milikowsky (ed.), Seder Olam: a rabbinic cronography, Ann Arbor 1981.",כפולה,סדר עולם,3:2:1.0,Ann Arbor,1981,,,,,
"משה בן יוסף מטראני, בית אלהים, ונציה של""ו",דפוס חשוב,פרק שירה,321:T,Venice,1576,,,,,
"יהודה ליב פוחוביצר, דברי חכמים, חלק א, המבורג תנ""ב",,פרק שירה,321:T,Hamburg,1692,,,,,
"ישעיה הורוביץ, שער השמים, אמסטרדם תע""ז",,פרק שירה,321:T,Amsterdam,1717,,,,,
"יצחק בן אריה יוסף דב, סדור עבודת ישראל, רדלהיים תרכ""ח",,פרק שירה,321:T,Rödelheim,1865,,,,,
"י""ד אייזנשטיין, אוצר מדרשים, ניו יורק תרע""ה",,ספרי אסופות של מדרשים,לא נמצא,New York,1915,,,,,
"פרק שירה, מהדורה מבוססת על כתבי יד, ב' אליצור (עורך), ירושלים תשמ""ט",כפולה,פרק שירה,321:T,Jerusalem,1989,,,,,
