Midrash_MSS ID,קבוצת תעדוף,תעדוף MiDRASH,מספר מערכת,הערות לתעתוק MiDRASH,כינוי כתב היד בכתיב,חיבורים - טור זמני,הערות חיבורים,הערות,זמינות תעתוק,מקור תעתוק,הערה לזמינות תעתוק,הערה עיונית,קישור לכתב היד בספריית המקור,לטיפול במחקר משלים צדקני
18,ספרות תנחומא-ילמדנו,1,990001393590205171,,"ספריית אוניברסיטת קמברידג', קמברידג', אנגליה Ms. Add. 1212",תנחומא הנדפס - קושטא,תנחומא הנדפס - כולל חומרים ייחודיים;,מסירת היסוד באתר מאגרים,,,,,,V
19,ספרות תנחומא-ילמדנו,1,990000993060205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Hunt. 74",תנחומא הנדפס - קושטא,"תנחומא הנדפס עם תוספות, חלק נדפסו בידי בובר, חלק בזיקה למנטובה ",,,,,,,V
20,ספרות תנחומא-ילמדנו,1,990001360690205171,,"ספריית אוניברסיטת קולומביה, ניו יורק, ניו יורק, ארצות הברית Ms. X 893 M 5843",תנחומא הנדפס - קושטא,תנחומא הנדפס - בראשית שמות בלבד.,,,,,,,V
21,ספרות תנחומא-ילמדנו,1,990001303340205171,,"ספריית אוניברסיטת ישיבה, ניו יורק, ניו יורק, ארצות הברית Ms. 1372",תנחומא הנדפס - קושטא,"תנחומא הנדפס - בראשית שמות בלבד, חסר מעט בראש ובסוף.",,,,,,,V
22,ספרות תנחומא-ילמדנו,1,990001138880205171,,"ספריית בית המדרש ללימודי יהדות, ניו יורק, ניו יורק, ארצות הברית Ms. 4938",תנחומא הנדפס - קושטא,"תנחומא הנדפס - בראשית שמות בלבד, חלק מהדפים במספר מדף 4918",,,,,,,V
23,ספרות תנחומא-ילמדנו,1,990001138980205171,,"ספריית בית המדרש ללימודי יהדות, ניו יורק, ניו יורק, ארצות הברית Ms. 4918",תנחומא הנדפס - קושטא,"תנחומא הנדפס - בראשית שמות בלבד, חלק מהדפים במספר מדף 4938",,,,,,,V
24,ספרות תנחומא-ילמדנו,1,990001138850205171,,"ספריית בית המדרש ללימודי יהדות, ניו יורק, ניו יורק, ארצות הברית Ms. 4915","תנחומא הנדפס - קושטא, מדרש הגדול",תנחומא הנדפס - בראשית שמות בלבד.,"ייתכן שזה (או כתב יד תימני אחר - לבירור, כולל הבאות ילמדנו מילקוט שמעוני, אולי בעקבות הדפוס)",,,,,,V
25,ספרות תנחומא-ילמדנו,1,990001169470205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Opp. Add. fol. 66","מדרשים לא מוכרים, תנחומא הנדפס - קושטא","תנחומא הנדפס - בראשית שמות עם חוסרים; מדרשים לא מוכרים - לפחות ויקרא הוכרז על ידי לרנר כמדרש זהו שנאמרה ברוח הקודש, אותו הוא מהדיר.",,,,,,,V
26,ספרות תנחומא-ילמדנו,1,990000880190205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Opp. 187","תנחומא הנדפס - קושטא, תנחומא בובר","תנחומא הנדפס - בראשית שמות עם חוסרים בתחילה ובסוף, ותוספות רבות המשולבת בתנחומא בובר.",,,,,,,V
27,ילקוטים לא מוכרים,1,990001739790205171,,"הספרייה המרכזית של ציריך, ציריך, שווייץ Ms. Heid. 192","מדרשים לא מוכרים, אנתולוגיות לא מוכרות, מעשה שושנה, מדרש חסרות ויתרות, מדרש ויושע, מעשה תורה לרבינו הקדוש, מדרש עשרת הדברות","בקטלוג איסרלס מתואר כמדרש לא מוכר, בכתיב כפירוש על דרך המדרש",,,,,,,
28,ילקוטים לא מוכרים,2 ?,990001687380205171,,"הספרייה המרכזית של ציריך, ציריך, Ms. Heid. 51","אנתולוגיות לא מוכרות, יצירת הולד",,על פי כתיב לא סרוק. סריקה זמינה באתר e-codices.,,,,,https://www.e-codices.ch/en/searchresult/list/one/zbz/Ms-Heid-0051,
29,ילקוטים לא מוכרים,2 ?,990001348260205171,,"הספרייה המרכזית של ציריך, ציריך, Ms. Or. 157","אנתולוגיות לא מוכרות, חלום מרדכי, מדרש משלי",מדרש משלי - מובאה בלבד. ,,,,,,,
