Midrash_MSS ID,קבוצת תעדוף,תעדוף MiDRASH,מספר מערכת,הערות לתעתוק MiDRASH,כינוי כתב היד בכתיב,חיבורים - טור זמני,הערות חיבורים,הערות,זמינות תעתוק,מקור תעתוק,הערה לזמינות תעתוק,הערה עיונית,קישור לכתב היד בספריית המקור,לטיפול במחקר משלים צדקני
85,פסיקתא ומדרשי נך,1,990001496490205171,,"ספריית כל ישראל חברים, פריס, Ms. H 47 A",פסיקתא דרב כהנא,,,,,,,,
86,פסיקתא ומדרשי נך,1,990001726470205171,,לקח טוב - לרות וקהלת בלבד. כתב יד ה,"פסיקתא דרב כהנא, פסיקתא רבתי","הרכב פסיקתאות, מתיאורי כתבי היד לא ברור אם ברצף משלב או בנפרד.",,,,,,,V
87,,,,,,,,,,,,,,
88,מדרשי רבה,1,990001726420205171,,"ספריית קזנטנזה, רומא, Ms. 3112","איכה רבה, לקח טוב, מדרש אבא גוריון (אסתר)",לקח טוב - לרות וקהלת בלבד. כתב יד הנל שימש בסיס למהדורת בובר לאבא גוריון,תופעת מאספי פרשנות ו/או מדרש למגילות,,,,,,
89,מדרשי רבה,1,990000806580205171,,"ספריית פלטינה, פרמה, Cod. Parm. 2393","אסתר רבה, איכה רבה",איכה רבה - מקוצר,"השגח בתופעת מאספי פרשנות ו/או מדרש למגילות; כולל גם ראב""ע לקהלת ושיר השירים.",,,,,,
90,מדרשי רבה,1,990001222840205171,,"הספרייה הבריטית, לונדון, Add. 27089","איכה רבה, מדרשים קטנים - לפני בירור",,,,,,,,
91,מדרשי רבה,1,990000869320205171,,"ספריית פלטינה, פרמה, Cod. Parm. 2559",איכה רבה,,,,,,,,
92,,,,,,,,,,,,,,
93,מדרשי רבה,1,990000954420205171,,"ספריית הוטיקן, קרית הוטיקן, Ms. ebr. 470","איכה רבה, מדרש אבא גוריון (אסתר)",,כולל גם פרשנות כתובים אחרים,,,,,,
94,מדרשי רבה,1,990000856870205171,,"הספרייה הלאומית של רוסיה, סנקט פטרבורג, Ms. EVR II A 272/01","איכה רבה, קהלת רבה, אסתר רבה",איכה רבה - קטעים בלבד. אסתר רבה רק חצי.,"גניזה, אך נשמר חלק גדול מכרך, יש לו מצטרפים. {מדובר ברשומת בן, אך רשומת האב שאליה יש קישור בקטלוג NLI היא רשומת בן נוספת של חיבור נוסף שנמצא באותו הקובץ. צריך לברר מה מספר המערכת של הקובץ כולו.}",,,,,,
95,מדרשי רבה,1,990000776370205171,,"ספריית פלטינה, פרמה, Cod. Parm. 2200","בראשית רבה, איכה רבה",בראשית רבה - קטעים בלבד.,בין החומרים הנוספים דרושים.,,,,,,
96,מדרשי רבה,1,990001822660205171,"עד כאן הועבר לדניאל שטוקל לתעתוק, מרץ 2025","הספרייה העירונית של האינטרונטי, סיינה, Ms. XVI.18",איכה רבה,,,,,,,,
97,מדרשים קטנים,1,990000705320205171,,"ספריית פלטינה, פרמה, Cod. Parm. 2294
",מדרשים קטנים - לפני בירור,ספר טוביה ושאר המדרשים הקטנים שבדפוס קושטא 1516 ועוד מדרשים קטנים נוספים. חילופים המצדיקים בירור האם כתב יד עצמאי מהדפוס.,,,,,,,
98,ילקוטים לא מוכרים,1,990000415360205171,,"הספרייה הלאומית, Ms. Heb. 8°2010",אנתולוגיות לא מוכרות,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור.",פיילוט מחקר אנתולוגיה מבוצע עליו,,,,,,
99,ילקוטים לא מוכרים,1,990001239250205171,,"הספרייה הבריטית, Or. 9959",אנתולוגיות לא מוכרות,,"כנראה הועתק מכתב היד המלא שממנו הגיע הספרייה הלאומית, Ms. Heb. 8°2010 (משה לביא)
",,,,,,
100,,1,990001379760205171,,"ספריית האוניברסיטה יוהן קרישטין סנקנברג, Ms. Oct. 93",מדרש תהלים,,,,,,,,
101,,1,990000424440205171,,"הספרייה הלאומית, Ms. Heb. 8°512",מדרש תהלים,,,,,,,,
102,,1,990001173670205171,,"ספריית המכון להיסטוריה יהודית על שם עמנואל רינגלבלום, Ms. 119",מדרש תהלים,,,,,,,,
103,,1,990001289180205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 152","מדרש תהלים, מדרש משלי",ועוד בקובץ פירושי כתובים ומסכת אבות,,,,,,,
104,,1,990001481550205171,,"הספרייה הלורנציאנית, Ms. Plut.II.13",מדרש תהלים,,,,,,,,
105,,1,990001673900205171,,"ספריית המדינה והאוניברסיטה של המבורג, Cod. hebr. 54",מדרש תהלים,,,,,,,,
106,,1,990001503780205171,,"ספריית כל ישראל חברים, Ms. H 482 A",מדרש תהלים,,,,,,,,
107,ילקוטים לא מוכרים,1,990001810240205171,,"הספריה המלכותית של מנזר אל אסקוריאל, Ms. G-IV-11","מדרש משלי, אנתולוגיות לא מוכרות",,,,,,,,
108,,1,990000856850205171,,"הספרייה הלאומית של רוסיה, Ms. EVR II A 274",מדרש משלי,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור.",,,,,,,
109,,1,990001289560205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 174",מדרש אבא גוריון (אסתר),,,,,,,,
110,,1,990001209720205171,,"הספרייה הבריטית, Add. 15402",מדרש אבא גוריון (אסתר),,,,,,,,
111,,1,990001496830205171,,"ספריית כל ישראל חברים, Ms. 78",מדרש אבא גוריון (אסתר),,,,,,,,
112,,1,990001787190205171,,"ספריית בית הדין, Ms. 6",מדרש אבא גוריון (אסתר),,,,,,,,
113,,1,990001673380205171,,"ספריית המדינה והאוניברסיטה של המבורג, Cod. hebr. 32",מדרש אבא גוריון (אסתר),,,,,,,,
114,,1,990001727250205171,,"ספריית קזנטנזה, Ms. 2858",פרקי דרבי אליעזר,,,,,,,,
115,,1,990000862660205171,,"ספריית המדינה של רוסיה, Ms. Guenzburg 111","פרקי דרבי אליעזר, מדרש ויושע, מדרש עשרת הדברות",,,,,,,,
116,,1,990002000270205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 10484","פרקי דרבי אליעזר, אבות דרבי נתן א, דרך ארץ זוטא",ליקוט מדרשים קטנים,,,,,,,
117,,1,990025861540205171,,"הספרייה הלאומית, Ms. Heb. 2°1270",פרקי דרבי אליעזר,,,,,,,,
118,,1,990001115120205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 8874",פרקי דרבי אליעזר,,,,,,,,
119,,1,990001057110205171,,"ספריית היברו יוניון קולג', Ms. 75",פרקי דרבי אליעזר,,צולם יחד עם HUC. Ms. 75.1 (990001060090205171),,,,,,
120,,,990000409540205171,,"הספרייה הלאומית, Ms. Yah. Heb. 28",מדרש הגדול,,,,,,,,
121,,,990025880770205171,,"הספרייה הלאומית, Ms. Heb. 4°451",מדרש הגדול,,,,,,,,
122,,,990000446590205171,,"הספרייה הלאומית, Ms. Heb. 4°989",מדרש הגדול,,,,,,,,
123,,,990000423870205171,,"הספרייה הלאומית, Ms. Heb. 8°1321",מדרש הגדול,,,,,,,,
124,,,990000443300205171,,"הספרייה הלאומית, Ms. Heb. 4°459",מדרש הגדול,,,,,,,,
125,,,990000411570205171,,"הספרייה הלאומית, Ms. Yah. Heb. 237",מדרש הגדול,,,,,,,,
126,,,990000411240205171,,"הספרייה הלאומית, Ms. Yah. Heb. 202",מדרש הגדול,,,,,,,,
127,,,990000441450205171,,"הספרייה הלאומית, Ms. Heb. 4°16",מדרש הגדול,,,,,,,,
128,,,990000409510205171,,"הספרייה הלאומית, Ms. Yah. Heb. 25",מדרש הגדול,,,,,,,,
129,,,990000409580205171,,"הספרייה הלאומית, Ms. Yah. Heb. 32",מדרש הגדול,,,,,,,,
130,,,990000423890205171,,"הספרייה הלאומית, Ms. Heb. 8°1324",מדרש הגדול,,,,,,,,
131,,,990000443310205171,,"הספרייה הלאומית, Ms. Heb. 4°460",מדרש הגדול,,,,,,,,
132,,,990000443350205171,,"הספרייה הלאומית, Ms. Heb. 4°464",מדרש הגדול,,,,,,,,
133,,,990000441850205171,,"הספרייה הלאומית, Ms. Heb. 4°59",מדרש הגדול,,,,,,,,
134,,,990000409490205171,,"הספרייה הלאומית, Ms. Yah. Heb. 23",מדרש הגדול,,,,,,,,
135,,,990000443380205171,,"הספרייה הלאומית, Ms. Heb. 4°467",מדרש הגדול,,,,,,,,
136,,,990025861400205171,,"הספרייה הלאומית, Ms. Heb. 3°1326",מדרש הגדול,,,,,,,,
137,,,990025785740205171,,"הספרייה הלאומית, Ms. Heb. 3°3571",מדרש הגדול,,,,,,,,
138,,,990025868900205171,,"הספרייה הלאומית, Ms. Heb. 4°118",מדרש הגדול,,,,,,,,
139,,,990000443420205171,,"הספרייה הלאומית, Ms. Heb. 4°471",מדרש הגדול,,,,,,,,
140,,,990001686380205171,,"ספריית מונטיפיורי, Ms. 41",איכה רבה,קצור מדרש איכה רבתי,,,,,,,
141,,,990000681070205171,,"ספריית הוטיקן, Ms. ebr. 171
",איכה רבה,,,,,,,,
142,,,990001139070205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4930
",איכה רבה,ילקוט מדרשים על תשעה באב,,,,,,,
143,,,990001053040205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 2590",אסתר רבה,"קובץ עם מספר חיבורים אגדיים סדר סוד העבור, הגדת מגלת אסתר פרוש שיר השירים על דרך האגדה",,,,,,,
144,,,990001942660205171,,"ספריית הוטיקן, Ms. ebr. 96",אסתר רבה,,,,,,,,
145,,,990000620950205171,,"ספריית הוטיקן, Ms. ebr. 290",אסתר רבה,ליקוטי הגדות ופירושי הגדות ופילוסופיה,,,,,,,
146,,,990001912140205171,,"הספרייה של האקדמיה ההונגרית למדעים, Ms. Kaufmann A 167","אסתר רבה, מדרש ויושע",,,,,,,,
147,,,990001239130205171,,"הספרייה הבריטית, Or. 9953",אסתר רבה,"ליקוט גסטר המכיל מסכת כלה, יצירת הולד, דין הקבר, מדרש שקלים, מדרש מגלה, סדר תנאים אמוראים וסבוראים",,,,,,,
148,,,990001099370205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 5502",אסתר רבה,,,,,,,,
149,,,990001662240205171,,"הספרייה הלאומית של רוסיה, Ms. Evr. Antonin B 302",אסתר רבה,מכיל גם קטע מויקרא רבה,,,,,,,
150,,,990001397950205171,,"ספריית אוניברסיטת קמברידג', Ms. Add. 2661",אסתר רבה,"החיבור מכונה בכתב היד: פתשגן הכתב אשר מורכב מלקוטים ממדרשים שונים, מדרש רבא, אבא גוריון, פנים אחרות וכו' ",ישנה בעייתיות מה בקטלוג מדרשי אסתר בשל ריבוי הגרסאות וכינוייהן,,,,,,
151,,,990001349710205171,,לא ידוע היכן נמצא,,ליקוטים לרנר מעיר שדומה לשמעוני לרות ,,,,,,,
152,,,990000706790205171,,"ספריית פלטינה, Cod. Parm. 2864
","רות רבה, מדרש תהלים","כולל באורי ידעיה הפניני
 על מדרשי רבה על התורה, תנחומא, ספרי, פרקי ר' אליעזר ""מדרש נחמות"" מתוך פסיקתא דרב כהנא ומדרש תלים מדרש רבה על רות",,,,,,,
153,,,990000792590205171,,"הספרייה הלאומית של רוסיה, Ms. EVR I 60","לקח טוב, רות רבה",,,,,,,,
154,,,990001219290205171,,"הספרייה הבריטית, Add. 19787",ילקוט שמעוני,קטע לרות וילקוט של חיבורים מימי הביניים,,,,,,,
155,,,990000639180205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 716","מדרש ויושע, דרך ארץ זוטא, מדרש עשרת הדברות, אנתולוגיות לא מוכרות",ילקוט לא מוכר,,,,,,,
156,,,990001635260205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. heb. e. 47. 43,Ms. heb. e. 47. 44,Ms. heb. e. 47. 45,Ms. heb. e. 47. 46,Ms. heb. e. 47. 47,Ms. heb. e. 47. 48",רות זוטא,סדרת קטעי גניזה מסדרה זו של 47,,,,,,,
157,,,990001431890205171,,"הספרייה הלאומית של רוסיה, Ms. EVR II A 161/10",רות זוטא,,,,,,,,
158,מדרשי רבה,1,990001138900205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 5014","בראשית רבה, שמות רבה",,,,,,,,
159,,,990000852210205171,,"הספרייה הלאומית של רוסיה, Ms. EVR II A 543",מדרש משלי,,,,,,,,
160,,,990001296910205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 719","מדרש משלי, אסתר רבה","קובץ מעניין של חיבורי פילוסופיה מראשית ימי הביניים לצד אוסף החיבורים, לקוטים ממדרש משלי וממדרש על אסתר נוסף על לך קובץ מדרשים שבאוצר מדרשים, כמסכת גיהנם, חבוט הקבר, משכן העדות, מעשה תורה לרבינו הקדוש.",,,,,,,
161,,,990001139550205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 5042",מדרש משלי,,,,,,,,
162,,,990001062260205171,,"ספריית היברו יוניון קולג', Ms. 35","מדרש משלי, מדרש שמואל","חדושים על המדרש : על מדרש רבה, מכילתא, מדרש שמואל, מדרש משלי וספרי מאת יהודה נתן פרובינצל. כמו כן בקובץ חידושים על המקרא והתלמוד",,,,,,,
163,,,990001667770205171,,"הספרייה הלאומית של רוסיה, Ms. Evr. Antonin B 927",שיר השירים זוטא,,,,,,,,
164,,,990000827330205171,,"הספרייה הלאומית של רוסיה, Ms. EVR I 21",רות זוטא,פירוש למקרא בו מובצים ילקוטים ממדרשים שונים,,,,,,,
165,ספרות תנחומא-ילמדנו,,990000993270205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. Add. Oct. 35",אגדת בראשית,,,,,,,,
166,ספרות תנחומא-ילמדנו,,990001028270205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 1015",אגדת בראשית,,,,,,,,
167,מדרשי רבה,,990000907030205171,,"הספרייה הלאומית של רוסיה, Ms. Evr. Antonin B 958",בראשית רבה,,,,,,,,
168,מדרשי רבה,,990053956350205171,,"הספרייה במרכז הרברט ד. כץ ללימודי יהדות מתקדמים, אוניברסיטת פנסילבניה, Ms. Genizah E 16507",בראשית רבה,,,,,,,,
169,מדרשי רבה,,990001250090205171,,"ספריית הוטיקן, Ms. ebr. 60",בראשית רבה,,,,,,,,
170,מדרשי רבה,,990001285640205171,,"ספריית הוטיקן, Ms. ebr. 30",בראשית רבה,,,,,,,,
171,מדרשי רבה,,990001209680205171,,"הספרייה הבריטית, Add. 16406",בראשית רבה,,,,,,,,
172,מדרשי רבה,,990032537510205171,,"ארכיון המדינה של פרמה, Ms. 4953",בראשית רבה,פירוש לבראשית רבה,דפים בודדים,,,,,,
173,מדרשי רבה,,990032547740205171,,"ארכיון המדינה של פרמה, Ms. 5235",בראשית רבה,פירוש לבראשית רבה,דפים בודדים,,,,,,
174,,,990038064800205171,,"ספריית כל ישראל חברים, Ms. II A 131",,מדרש לא מזוהה על בראשית מו,דפים בודדים,,,,,,
175,מדרשי רבה,,990000556470205171,,"הארכיון העירוני של פרנקפורט, Arch. Hand. I 1355",בראשית רבה,,דפים בודדים,,,,,,
176,מדרשי רבה,,990001808510205171,,"ספריית האוניברסיטה על שם יגילונסקי, Ms. Fr. 17",בראשית רבה,,דפים בודדים,,,,,,
177,מדרשי רבה,,990000897980205171,,"הספרייה הלאומית של רוסיה, Ms. Evr. Antonin B 268",בראשית רבה,,דפים בודדים,,,,,,
178,מדרשי רבה,,990000906240205171,,"הספרייה הלאומית של רוסיה, Ms. Evr. Antonin B 901",בראשית רבה,,דפים בודדים,,,,,,
179,מדרשי רבה,,990001420260205171,,"ספריית אוניברסיטת קמברידג', Ms. T-S NS 329.544",בראשית רבה,,,,,,,,
180,מדרשי רבה,,990000466250205171,,"הספרייה הלאומית, Ms. Heb. 2°6990",בראשית רבה,"פרוש מדרש בראשית רבה רש""י",,,,,,,
181,מדרשי רבה,,990001920620205171,,"ספריית מדינת וירטמברג, שטוטגרט, Ms. Cod. Or. Qu. 32",בראשית רבה,,,,,,,,
182,מדרשי רבה,,990000695150205171,,"ספריית פלטינה, Cod. Parm. 3175",בראשית רבה,ילקוט מדרש לספר בראשית,,,,,,,
183,מדרשי רבה,,990001360680205171,,"ספריית אוניברסיטת קולומביה, Ms. X 893 M 584",בראשית רבה,,,,,,,,
184,מדרשי רבה,,990000776390205171,,"ספריית פלטינה, Cod. Parm. 2200",בראשית רבה,ילקוט?,,,,,,,
185,מדרשי רבה,,990001784560205171,,"הקהילה היהודית של מנטובה, Ms. ebr. 37","בראשית רבה, ויקרא רבה",פירוש,,,,,,,
186,מדרשי רבה,,990001381810205171,,"ספריית האוניברסיטה יוהן קרישטין סנקנברג, Ms. Oct. 200",בראשית רבה,"חדושים על מדרשים על התורה
",,,,,,,
187,מדרשי רבה,,990001265450205171,,"ספריית מדינת בווריה, Cod.hebr. 97",בראשית רבה,"חסר בתחלה עד פרק א, וכן חסר בסוף ח עד סוף ט אלבק מציין ש""הכ""י משובש מאד""",,,,,,,
188,ילקוטים לא מוכרים,,990001817950205171,,"ספריית אוניברסיטת ליידן, Ms. Or. 4779",בראשית רבה,ילקוט? מאת ישועה בן יהודה,,,,,,,
189,מדרשי רבה,,990000552500205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. Add. fol. 3","בראשית רבה, שמות רבה, ויקרא רבה, במדבר רבה, דברים רבה",רשומה מוכפלת,,,,,,,
190,מדרשי רבה,,990001290050205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 187",שמות רבה,https://gallica.bnf.fr/ark:/12148/btv1b105399851/f1.item,ילקוט מעניין של ספרים ומדרשים.,,Bibliothèque nationale de France. Département des Manuscrits. Hébreu 187,,,,
191,ילקוטים לא מוכרים,,990001247950205171,,"הספרייה הבריטית, Or. 10429","אבות דרבי נתן א, פרקי דרבי אליעזר",ילקוט קצר ,,,,,,,
192,ילקוטים לא מוכרים,,990000722960205171,,"ספריית פלטינה, Cod. Parm. 2785","אבות דרבי נתן ב, מסכתות קטנות",קובץ מדרשים איזוטריים וילקוט כתבי גאונים וראשונים,,,,,,,
193,מדרשים קטנים,,990001119090205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 5848",אבות דרבי נתן א,,,,,,,,
194,ילקוטים לא מוכרים,,990001137120205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 5818","אבות דרבי נתן א, דרך ארץ זוטא",,,,,,,,
195,ילקוטים לא מוכרים,,990000808990205171,,"הספרייה הלאומית של רוסיה, Ms. EVR I 272","מדרש אבא גוריון (אסתר), אלפא ביתא דבן סירא, מעשה תורה לרבינו הקדוש","ילקוט מעניין הכולל חיבורים מגוונים, תולדות ישו, משלי סנדבר
אלדד הדני ועוד חיבורים יהודיים ימי ביניים",,,,,,,
196,,,990001169610205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 1467",מדרש אבא גוריון (אסתר),"כולל דרשות הגמרא על אסתר ופירושי רש""י לתלמוד שם לצד פירושים נוספים למגילת אסתר כ""כ ליקוטים מפענח רזא.",,,,,,,
197,,,990001883510205171,,"ספריית אוניברסיטת קמברידג', Ms. Mm. 6.26.2",מדרש אבא גוריון (אסתר),,,,,,,,
198,,,990000662830205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. 128",מדרש אבא גוריון (אסתר),,,,,,,,
199,,,990001957600205171,,"הספרייה הלאומית של רוסיה, Ms. EVR I 246",מדרש אבא גוריון (אסתר),,,,,,,,
200,ילקוטים לא מוכרים,,990001352400205171,,"הספרייה של האקדמיה ההונגרית למדעים, Ms. Kaufmann A 291",מדרש אבא גוריון (אסתר),"הקובץ הנ""ל כולל הרבה חיבורים מימי הביניים. החיבור 'רשימה של דמויות מקראיות' מתייחס לאבא גוריון ולמדרש אסתר רבה  ותוארם. תואר בידי אלבוים ולרנר",,,,,,,
201,ילקוטים לא מוכרים,,990000573820205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. heb. d. 11","מדרש פנים אחרת נוסח ב (אסתר), איכה רבה, מסכתות קטנות, פרקי דרבי אליעזר, מעשה יהודית, אלפא ביתא דבן סירא","בקובץ הנ""ל אוסף חיבורים רבים לרבות ספר הזכרונות שתואר בידי יסיף כחיבור שנערך מתוך הכרוניקה של ירחמיאל, לחיבור הנ""ל זיקה לאסתר מדרש אחר, לרנר.",נויבאואר 2797,,,,,,
202,ילקוטים לא מוכרים,,990000574970205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. 712",מסכתות קטנות,כולל חיבורים בנושא פילוסופיה וקבלה,,,,,,,
203,,,990001634010205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. heb. d. 17",תלמוד תורה,במדבר ודברים,,,,,,,
204,,,990001193710205171,,לא ידוע היכן נמצא,תלמוד תורה,,,,,,,,
205,,,997008370765305171,,"ספריית אוניברסיטת ישיבה, Ms. 706",תלמוד תורה,במדבר ודברים,,,,,,,
206,,,990000639470205171,,"ספריית אוניברסיטת ישיבה, Ms. 1373",תלמוד תורה,בראשית,,,,,,,
207,,,990001943560205171,,"ספריית הוטיקן, Ms. ebr. 76",מדרש משלי,,,,,,,,
208,,,990001986960205171,,"ספריית הוטיקן, Ms. ebr. 92",מדרש משלי,,,,,,,,
209,,,990000613580205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 3847","פרקי דרבי אליעזר, אנתולוגיות לא מוכרות, מדרש עשרת הדברות, אלפא ביתא דבן סירא",,,,,,,,
210,,,990001176180205171,,"ספריית המכון להיסטוריה יהודית על שם עמנואל רינגלבלום, Ms. 240",פרקי דרבי אליעזר,,,,,,,,
211,,,990000888840205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Opp. 247",אבות דרבי נתן א,,,,,,,,
212,,,990001978600205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. heb. b. 6
",ילקוט שמעוני,"כ""י היחיד השלם פרט ליתרו מרמז רע- רפב, משפטים שנא-שסב ותרומה שסח עד ויקרא תסט",,,,,3 הראשונים הם המקורות למהדורת מוסד הרב קוק,,
213,,,990000880430205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Arch. Seld. Superius 102",ילקוט שמעוני,"שמעוני לכתובים (מנדל, דיסרטציה)","מתוך כתיב: עם הערות בשוליים למדרש שיה""ש (עד פרק ד)",,,,צריך לעשות מיפוי של נביאים כתובים של שמעוני,,
214,,,990000854320205171,,"ספריית פלטינה, Cod. Parm. 2401","ילקוט שמעוני, ילקוט מכירי","לספרים הושע, יואל, עמוס, עובדיה, יונה, מיכה ונחום המדרש הוא ילקוט המכירי.",,,,,,,
215,,,990001675790205171,,"ספריית המדינה והאוניברסיטה של המבורג, Cod. hebr. 81",ילקוט שמעוני,מתחיל מאמצע ספר יואל עד תחלת ספר עמוס מכיל יותר מהנדפס,,,,,,,
216,,,990000461410205171,,"הספרייה הלאומית, Ms. Heb. 4°5767",פתרון תורה,,,,,,,,
217,,,990000933830205171,,"ספריית הוטיקן, Ms. ebr. 291",ילקוט מכירי,"ילקוט המכירי על הושע, בלתי שלם, מפרק א:ט עד יד:א",,,,,,,
218,,,990001884270205171,,"ספריית אוניברסיטת ליידן, Ms. Or. 4724",ילקוט מכירי,"כ""י יחידי לילקוט לספר ישעיה. חסר באמצעיתו ובסופו (מפרק סג:ב)",,,,,,,
219,,,990000689230205171,,"ספריית פלטינה, Cod. Parm. 2298",ילקוט מכירי,"קטע ממדרש המכירי על הולדת דוד, פרק קיט, מהדורת ש' באבער",,,,,,,
220,,,990001118110205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4968",ילקוט מכירי,ילקוט המכירי (תהלים),,,,,,,
221,,,990001118120205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4959",ילקוט מכירי,ילקוט המכירי (משלי),,,,,,,
222,,,990001239260205171,,"הספרייה הבריטית, Or. 9960",ילקוט מכירי,ילקוט המכירי (תהלים),,,,,,,
223,,,990000419140205171,,"הספרייה הלאומית, Ms. Heb. 8°1774",ילקוט מכירי,ילקוט המכירי (משלי),,,,,,,
224,,,990001581460205171,,"הספרייה הלאומית המרכזית של פירנצה, Ms. Magl. III.35",לקח טוב,בראשית-ויקרא,,,,,,,
225,,,990051099620205171,,"ספריית אוניברסיטת קמברידג', Ms. T-S NS 254.79",לקח טוב,"קהלת, הקדמה",,,,,,,
226,,,990001197380205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4362",לקח טוב,רות א:א-ב:א,,,,,,,
227,,,990001026790205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 948",לקח טוב,"שמות, קטעים",,,,,,,
228,,,990000682860205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 1609",לקח טוב,"שה""ש, רות, לקוטים",,,,,,,
229,,,990053612990205171,,"ספריית בית המדרש ללימודי יהדות, Ms. Lutzki 821a, fol. 1",לקח טוב,,,,,,,,
230,,,990053613000205171,,"ספריית בית המדרש ללימודי יהדות, Ms. Lutzki 821a, fol. 2",לקח טוב,,,,,,,,
231,,,990053613010205171,,"ספריית בית המדרש ללימודי יהדות, Ms. Lutzki 821a, fol. 3",לקח טוב,שמות,,,,,"האם לספור בתור שמעוני, לקח טוב, אחר?",,
232,,,990053613020205171,,"ספריית בית המדרש ללימודי יהדות, Ms. Lutzki 821a, fol. 4",לקח טוב,,,,,,,,
233,,,990001026830205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 950",לקח טוב,"כולל משמות כא:ג עד דברים לב:מז, וחסר מפרשת פנחס (178), משם ואילך הכתחבה אחרת,פרשות כי תבוא-נצבים",,,,,,,
234,,,990001197190205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4946","לקח טוב, אנתולוגיות לא מוכרות",,,,,,,,
235,,,990001139190205171,,"ספריית בית המדרש ללימודי יהדות, Ms. 4950a",לקח טוב,,,,,,,,
236,,,990053629570205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. heb. d. 68.40",לקח טוב,קטעים משמות,,,,,,,
237,,,997007962882005171,,"הספרייה הלאומית, Ms. Heb. 4°9463.5",לקח טוב,בראשית א:א; שמות כא:כב,,,,,,,
238,,,997013035474005171,,"הספרייה הלאומית, Ms. Heb. 4°11212",לקח טוב,ויגש - ויחי,,,,,,,
239,,,990000880380205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. Hunt. 397",לקח טוב,מאמצע פרשת וארא עד תחילת פקודי,,,,,,,
240,,,990001289600205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 174",לקח טוב,איכה,,,,,,,
241,,,990001289570205171,,"הספרייה הלאומית של צרפת, Ms. hebr. 174",לקח טוב,קהלת,"כה""י שימש ככל הנראה את בובר במהדורתו למדרש לקח טוב לספר שמות (ווילנא, 1884) ואולם הוא כולל שינויי נוסח שאינם מובאים בדפוס. ראה בהקדמתו דף 10",,,,,,
242,,,990000865030205171,,"הספרייה הלאומית של רוסיה, Ms. EVR II A 331",לקח טוב,שמות,,,,,,,
243,,,990001056470205171,,"ספריית היברו יוניון קולג', Ms. 54",לקח טוב,ויקרא,,,,,,,
244,,,990000776820205171,,"הספרייה הלאומית של רוסיה, Ms. EVR I 245",לקח טוב,מתחיל משמות,,,,,,,
245,,,990000767630205171,,"ספריית המדינה של רוסיה, Ms. Guenzburg 510",לקח טוב,"קהלת, איכה, רות ושיה""ש (עד ז:ה)",,,,,,,
246,,,990001634000205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, Ms. heb. d. 53",לקח טוב,בראשית - שמות,,,,,,,
247,,,990000579030205171,,"ספריית מדינת בווריה, Cod.hebr. 77",לקח טוב,"מגלות, תהלים",,,,,,,
